id,organization_id,type,species,breed_primary,breed_secondary,is_mixed,color_primary,color_secondary,color_tertiary,age,gender,size,coat,name,status,spayed_neutered,house_trained,declawed,special_needs,shots_current,children_friendly,dogs_friendly,cats_friendly,email,phone,city,state,postcode,county,country,published_at,distance
73925024,TX406,Cat,Cat,Siamese,,False,Flame Point,,,Baby,Female,Small,Medium,Cranberry,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:31:34+0000,185.795
73924924,TX587,Dog,Dog,Siberian Husky,,True,Apricot / Beige,,,Adult,Male,Medium,Long,Sherlock Bones,adoptable,True,False,,False,True,,,,acunit@cleburne.net,817-556 8895,Cleburne,TX,76033,48251,US,2024-11-11T19:30:25+0000,133.1402
73925011,TX406,Cat,Cat,Tabby,,False,Tabby (Brown / Chocolate),,,Baby,Male,Small,Short,Cupcake,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:30:01+0000,185.795
73924997,TX406,Cat,Cat,Siamese,,False,Chocolate Point,,,Baby,Female,Small,Short,Twinkie,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:28:29+0000,185.795
73924984,TX406,Cat,Cat,Domestic Short Hair,,False,Black & White / Tuxedo,Black,,Baby,Male,Medium,Short,Pablo,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:26:46+0000,185.795
73924969,TX406,Cat,Cat,Calico,,False,Calico,,,Baby,Female,Medium,Short,Pumpkin Spice,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:25:18+0000,185.795
73924962,TX406,Cat,Cat,Domestic Short Hair,,False,Black & White / Tuxedo,,,Baby,Male,Medium,Short,Evertte,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:23:45+0000,185.795
73924957,TX406,Cat,Cat,Tabby,,False,Tabby (Brown / Chocolate),,,Baby,Female,Medium,Short,Evie,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:22:50+0000,185.795
73924952,TX406,Cat,Cat,Tabby,,False,Tabby (Brown / Chocolate),White,,Baby,Female,Medium,Short,Elise,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:22:02+0000,185.795
73924949,TX2269,Dog,Dog,Pit Bull Terrier,Labrador Retriever,True,Black,,,Adult,Male,Medium,Short,"Derrick Doodle Ark, Fun Water Loving Boy",adoptable,True,True,,False,True,True,True,True,Jessicak@threelittlepittiesrescue.org,,Austin,TX,78705,48453,US,2024-11-11T19:21:20+0000,111.3549
73924944,TX406,Cat,Cat,Tortoiseshell,,False,Tortoiseshell,,,Baby,Female,Small,Medium,Buttercup,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:20:33+0000,185.795
73924942,TX2269,Dog,Dog,Pit Bull Terrier,Labrador Retriever,True,Black,,,Adult,Male,Medium,Short,"Derrick Doodle Ark, Fun Water Loving Boy",adoptable,True,True,,False,True,True,True,True,Jessicak@threelittlepittiesrescue.org,,Dallas,TX,75266,48113,US,2024-11-11T19:20:26+0000,178.2615
73924938,TX406,Cat,Cat,Tabby,,False,Tabby (Brown / Chocolate),,,Baby,Male,Small,Short,Rome,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:19:01+0000,185.795
73924933,TX2269,Dog,Dog,Pit Bull Terrier,Labrador Retriever,True,Black,,,Adult,Male,Medium,Short,"Derrick Doodle Ark, Fun Water Loving Boy",adoptable,True,True,,False,True,True,True,True,Jessicak@threelittlepittiesrescue.org,,Friendswood,TX,77546,48167,US,2024-11-11T19:18:23+0000,269.093
73924932,TX406,Cat,Cat,Tabby,,False,Tabby (Brown / Chocolate),,,Baby,Female,Small,Short,Milan,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:18:19+0000,185.795
73924935,TX2471,Cat,Cat,Domestic Long Hair,,True,Black,,,Baby,Male,Small,,56594620,adoptable,False,False,False,False,True,,,,epasadoptions@elpasotexas.gov,(915) 212-7297,El Paso,TX,79906,48141,US,2024-11-11T19:18:15+0000,424.3066
73924936,TX2471,Dog,Dog,Pit Bull Terrier,Mixed Breed,True,Black,White / Cream,,Baby,Female,Small,,Debbie*,adoptable,False,False,,False,True,,,,epasadoptions@elpasotexas.gov,(915) 212-7297,El Paso,TX,79906,48141,US,2024-11-11T19:18:15+0000,424.3066
73924925,TX406,Cat,Cat,Tabby,,False,Tabby (Brown / Chocolate),White,,Baby,Male,Small,Short,Venice,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:17:39+0000,185.795
73924915,TX1115,Dog,Dog,Border Collie,,False,,,,Adult,Male,Medium,Medium,#1091.24,adoptable,False,False,,False,True,,,,kpjcrna@gmail.com,(573) 864-9877,Kerrville,TX,78028,48265,US,2024-11-11T19:17:13+0000,84.9202
73924920,TX406,Cat,Cat,Tabby,,False,Tabby (Orange / Red),White,,Baby,Female,Small,Short,Penelope,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:16:28+0000,185.795
73924913,TX406,Cat,Cat,Tabby,,False,Tabby (Orange / Red),,,Baby,Male,Small,Short,Poppy,adoptable,True,True,False,False,True,,,,elpo@welovepets.net,214-342-3100,Dallas,TX,75238,48113,US,2024-11-11T19:15:52+0000,185.795
