county,frequency,name
48113.0,4518,Dallas
48201.0,4401,Harris
48439.0,3230,Tarrant
48029.0,2897,Bexar
48453.0,2040,Travis
48141.0,1405,El Paso
40143.0,1134,Tulsa
48167.0,1113,Galveston
48339.0,1101,Montgomery
48039.0,911,Brazoria
48121.0,698,Denton
48085.0,670,Collin
48187.0,608,Guadalupe
40109.0,573,Oklahoma
48491.0,546,Williamson
48157.0,439,Fort Bend
20173.0,384,Sedgwick
48061.0,375,Cameron
48367.0,371,Parker
5131.0,369,Sebastian
48209.0,311,Hays
5007.0,307,Benton
48423.0,293,Smith
48355.0,286,Nueces
48091.0,266,Comal
35013.0,263,Doa Ana
48381.0,253,Randall
5119.0,251,Pulaski
48181.0,237,Grayson
5051.0,234,Garland
22017.0,224,Caddo
40091.0,223,McIntosh
48259.0,215,Kendall
22055.0,211,Lafayette
22915.0,201,
48303.0,201,Lubbock
5139.0,193,Union
48245.0,190,Jefferson
48395.0,183,Robertson
48257.0,169,Kaufman
40037.0,169,Creek
48329.0,168,Midland
48183.0,166,Gregg
48309.0,165,McLennan
5115.0,163,Pope
20055.0,161,Finney
48441.0,160,Taylor
40147.0,158,Washington
22125.0,158,West Feliciana
48293.0,156,Limestone
48451.0,144,Tom Green
48251.0,143,Johnson
48203.0,139,Harrison
48373.0,137,Polk
48493.0,136,Wilson
40017.0,136,Canadian
48019.0,134,Bandera
48027.0,133,Bell
48467.0,131,Van Zandt
48055.0,128,Caldwell
48397.0,116,Rockwall
40119.0,113,Payne
48231.0,109,Hunt
40083.0,108,Logan
40051.0,102,Grady
5143.0,102,Washington
48215.0,101,Hidalgo
22079.0,98,Rapides
48049.0,96,Brown
48007.0,96,Aransas
22037.0,94,East Feliciana
48473.0,86,Waller
40027.0,85,Cleveland
48037.0,84,Bowie
48001.0,83,Anderson
40087.0,83,McClain
48107.0,82,Crosby
48375.0,82,Potter
48139.0,82,Ellis
40105.0,81,Nowata
48497.0,81,Wise
48171.0,80,Gillespie
5069.0,79,Jefferson
22097.0,75,St. Landry
48051.0,73,Burleson
40131.0,73,Rogers
48495.0,73,Winkler
5015.0,70,Carroll
22039.0,67,Evangeline
48189.0,67,Hale
48299.0,66,Llano
48349.0,66,Navarro
40019.0,65,Carter
48135.0,64,Ector
20035.0,64,Cowley
48477.0,62,Washington
48021.0,62,Bastrop
5125.0,59,Saline
48331.0,59,Milam
48227.0,59,Howard
48015.0,58,Austin
20155.0,58,Reno
48089.0,58,Colorado
20095.0,58,Kingman
29145.0,58,Newton
40047.0,55,Garfield
22049.0,55,Jackson
48097.0,54,Cooke
48185.0,53,Grimes
48337.0,49,Montague
20145.0,49,Pawnee
48479.0,48,Webb
48265.0,48,Kerr
48013.0,48,Atascosa
22069.0,48,Natchitoches
22111.0,48,Union
40071.0,47,Kay
48281.0,47,Lampasas
20015.0,46,Butler
5081.0,46,Little River
48217.0,46,Hill
48005.0,45,Angelina
48221.0,45,Hood
35009.0,43,Curry
48053.0,43,Burnet
40137.0,43,Stephens
48175.0,43,Goliad
48077.0,42,Clay
40107.0,42,Okfuskee
22073.0,40,Ouachita
48485.0,39,Wichita
40021.0,38,Cherokee
48243.0,38,Jeff Davis
5045.0,38,Faulkner
48041.0,37,Brazos
48469.0,36,Victoria
48499.0,36,Wood
48325.0,36,Medina
48147.0,35,Fannin
40011.0,34,Blaine
40003.0,34,Alfalfa
35027.0,34,Lincoln
40069.0,33,Johnston
48343.0,32,Morris
48163.0,32,Frio
48449.0,32,Titus
48179.0,32,Gray
5113.0,32,Polk
40115.0,31,Ottawa
48313.0,31,Madison
48035.0,31,Bosque
48043.0,29,Brewster
22113.0,29,Vermilion
48073.0,28,Cherokee
40125.0,28,Pottawatomie
35037.0,27,Quay
20099.0,27,Labette
40015.0,27,Caddo
29119.0,27,McDonald
48177.0,26,Gonzales
40031.0,26,Comanche
48249.0,26,Jim Wells
48321.0,26,Matagorda
40013.0,25,Bryan
35025.0,25,Lea
48459.0,25,Upshur
48119.0,23,Delta
40049.0,23,Garvin
48487.0,23,Wilbarger
35005.0,23,Chaves
20125.0,22,Montgomery
5087.0,22,Madison
40121.0,21,Pittsburg
40101.0,21,Muskogee
22127.0,21,Winn
35047.0,20,San Miguel
40123.0,19,Pontotoc
48411.0,19,San Saba
40135.0,18,Sequoyah
48351.0,18,Newton
40133.0,18,Seminole
22059.0,18,LaSalle
5059.0,18,Hot Spring
48083.0,17,Coleman
48149.0,17,Fayette
48267.0,16,Kimble
48239.0,16,Jackson
40145.0,16,Wagoner
22045.0,16,Iberia
48161.0,16,Freestone
40099.0,14,Murray
5029.0,14,Conway
5053.0,14,Grant
48463.0,14,Uvalde
48093.0,14,Comanche
20151.0,14,Pratt
48199.0,13,Hardin
40039.0,13,Custer
40097.0,13,Mayes
5109.0,12,Pike
48169.0,12,Garza
40001.0,12,Adair
40035.0,12,Craig
48379.0,11,Rains
20057.0,11,Ford
22015.0,11,Bossier
48057.0,10,Calhoun
48273.0,10,Kleberg
48219.0,10,Hockley
40041.0,10,Delaware
48457.0,10,Tyler
35057.0,10,Torrance
5149.0,10,Yell
5083.0,9,Logan
48363.0,9,Palo Pinto
48213.0,8,Henderson
40111.0,8,Okmulgee
48387.0,8,Red River
40117.0,8,Pawnee
48031.0,8,Blanco
48409.0,8,San Patricio
35049.0,7,Santa Fe
48407.0,7,San Jacinto
22021.0,7,Caldwell
22009.0,7,Avoyelles
40055.0,7,Greer
40063.0,6,Hughes
22067.0,6,Morehouse
48401.0,6,Rusk
48427.0,6,Starr
48071.0,6,Chambers
20067.0,6,Grant
48319.0,5,Mason
48099.0,5,Coryell
22047.0,5,Iberville
22061.0,5,Lincoln
48067.0,5,Cass
48315.0,5,Marion
22083.0,4,Richland
40061.0,4,Haskell
48223.0,4,Hopkins
5079.0,4,Lincoln
40081.0,4,Lincoln
20175.0,3,Seward
5033.0,3,Crawford
5105.0,3,Perry
48361.0,3,Orange
22119.0,2,Webster
48277.0,2,Lamar
40113.0,2,Osage
48481.0,2,Wharton
40149.0,2,Washita
48193.0,2,Hamilton
40095.0,2,Marshall
48159.0,2,Franklin
22065.0,2,Madison
22001.0,2,Acadia
22115.0,1,Vernon
22123.0,1,West Carroll
5061.0,1,Howard
48225.0,1,Houston
48059.0,1,Callahan
35019.0,1,Guadalupe
5091.0,1,Miller
48133.0,1,Eastland
35035.0,1,Otero
5011.0,1,Bradley
