county,frequency,name
1059.0,,Franklin
13111.0,,Fannin
19109.0,,Kossuth
40115.0,31.0,Ottawa
42115.0,,Susquehanna
40053.0,,Grant
31029.0,,Chase
29213.0,,Taney
32510.0,,Carson City
12049.0,,Hardee
5023.0,,Cleburne
48017.0,,Bailey
49037.0,,San Juan
31143.0,,Polk
42075.0,,Lebanon
35028.0,,Los Alamos
40137.0,43.0,Stephens
40081.0,4.0,Lincoln
19031.0,,Cedar
19069.0,,Franklin
20151.0,14.0,Pratt
28099.0,,Neshoba
29167.0,,Polk
27101.0,,Murray
29121.0,,Macon
55039.0,,Fond du Lac
47169.0,,Trousdale
51683.0,,Manassas
48329.0,168.0,Midland
48251.0,143.0,Johnson
48171.0,80.0,Gillespie
55137.0,,Waushara
4015.0,,Mohave
12015.0,,Charlotte
20039.0,,Decatur
21057.0,,Cumberland
46097.0,,Miner
41033.0,,Josephine
41015.0,,Curry
35006.0,,Cibola
26001.0,,Alcona
6105.0,,Trinity
1103.0,,Morgan
31159.0,,Seward
40153.0,,Woodward
39063.0,,Hancock
36057.0,,Montgomery
18139.0,,Rush
29139.0,,Montgomery
20097.0,,Kiowa
28117.0,,Prentiss
17189.0,,Washington
72029.0,,Canvanas
31171.0,,Thomas
29017.0,,Bollinger
13149.0,,Heard
48085.0,670.0,Collin
48107.0,82.0,Crosby
48081.0,,Coke
21171.0,,Monroe
12003.0,,Baker
20089.0,,Jewell
26017.0,,Bay
37153.0,,Richmond
29023.0,,Butler
27105.0,,Nobles
23001.0,,Androscoggin
51735.0,,Poquoson
1013.0,,Butler
37003.0,,Alexander
37063.0,,Durham
38027.0,,Eddy
36093.0,,Schenectady
27079.0,,Le Sueur
29055.0,,Crawford
28107.0,,Panola
72093.0,,Maricao
72075.0,,Juana Daz
19027.0,,Carroll
19075.0,,Grundy
28131.0,,Stone
46003.0,,Aurora
29173.0,,Ralls
48433.0,,Stonewall
4005.0,,Coconino
8081.0,,Moffat
18141.0,,St. Joseph
5095.0,,Monroe
39037.0,,Darke
28003.0,,Alcorn
2105.0,,Hoonah-Angoon
12067.0,,Lafayette
2290.0,,Yukon-Koyukuk
51590.0,,Danville
40063.0,6.0,Hughes
38047.0,,Logan
39077.0,,Huron
39021.0,,Champaign
31053.0,,Dodge
31097.0,,Johnson
19165.0,,Shelby
19197.0,,Wright
21061.0,,Edmonson
26057.0,,Gratiot
72045.0,,Comero
56025.0,,Natrona
20163.0,,Rooks
48153.0,,Floyd
48227.0,59.0,Howard
48319.0,5.0,Mason
51600.0,,Fairfax
51530.0,,Buena Vista
72119.0,,Ro Grande
12099.0,,Palm Beach
18171.0,,Warren
20187.0,,Stanton
2180.0,,Nome
39085.0,,Lake
37181.0,,Vance
